bowler_id,bowler_name,RAA,RAA_per_ball,balls_bowled,total_weighted_runs_against,is_replacement
9d430b40,SP Narine,867.4666,0.1962,4421,-1181.7812,False
462411b3,JJ Bumrah,819.0611,0.2358,3474,-809.9375,False
a12e1d51,SL Malinga,639.2935,0.215,2974,-775.6538,False
5f547c8b,Rashid Khan,478.9919,0.148,3237,-630.0975,False
495d42a5,R Ashwin,434.8103,0.0893,4868,-897.6567,False
2e81a32d,B Kumar,404.8813,0.0925,4378,-456.1282,False
8fd1a8f5,DW Steyn,386.7874,0.1695,2282,-513.131,False
4ba44e19,M Muralitharan,362.0874,0.229,1581,-476.9982,False
87e562a9,DJ Bravo,268.2369,0.0814,3296,-422.9964,False
64839cb3,M Pathirana,259.5004,0.326,796,-216.8244,False
2e171977,AR Patel,241.8962,0.0717,3373,-426.5659,False
33a364a6,R Bhatia,186.9899,0.1126,1661,-289.9642,False
5574750c,JC Archer,179.0064,0.14,1279,-187.7889,False
5b8c830e,KH Pandya,169.9616,0.0689,2466,-352.5772,False
0c2730df,A Kumble,168.5631,0.1715,983,-321.1931,False
f986ca1a,HV Patel,164.7392,0.0638,2583,-49.9322,False
8b5b6769,Harbhajan Singh,164.4065,0.047,3496,-601.8769,False
0a8fce53,Mustafizur Rahman,159.1492,0.1122,1419,-160.1272,False
5b7ab5a9,CV Varun,157.4532,0.0815,1932,-185.5988,False
3d7e087f,SK Trivedi,151.4857,0.0973,1557,-274.1745,False
4329fbb5,SR Watson,146.5518,0.0686,2137,-256.7914,False
fb66ce1f,CH Morris,144.4797,0.0802,1801,-199.1147,False
91a4a398,Z Khan,139.5322,0.0613,2276,-241.0942,False
6b19d823,A Mishra,116.5081,0.0338,3444,-556.9026,False
57ee1fde,YS Chahal,103.2426,0.0264,3905,-343.6359,False
addfb70e,SW Tait,101.548,0.1902,534,-131.9823,False
d7c6af50,DL Vettori,93.4819,0.1191,785,-204.1291,False
85e0cf10,M Prasidh Krishna,84.9897,0.0533,1595,-22.9751,False
244048f6,Arshdeep Singh,84.1712,0.0462,1821,21.447,False
2ed569a0,RD Chahar,83.676,0.0491,1703,-178.0222,False
86dc8f2e,JH Kallis,82.7879,0.046,1799,-204.8685,False
5bb5a915,M Morkel,82.5777,0.0486,1699,-167.2909,False
efc04be7,Noor Ahmad,81.5484,0.0981,831,-75.6699,False
8d2c70ad,Kuldeep Yadav,80.1008,0.0377,2123,-144.161,False
ce820073,Sandeep Sharma,79.797,0.0252,3168,-75.3597,False
2cdce1be,C Sakariya,79.5215,0.166,479,-61.1778,False
557153ca,KK Cooper,78.9201,0.1315,600,-121.2403,False
7c503806,J Botha,76.2438,0.1075,709,-138.3688,False
45c2196c,DE Bollinger,73.5187,0.1225,600,-124.6967,False
e938e1bc,P Kumar,72.9802,0.0277,2637,-196.6954,False
5d9a1a73,R Sharma,72.0629,0.0771,935,-221.3468,False
dd09ff8e,B Lee,70.4486,0.0769,916,-128.8241,False
e4a0deae,MJ Santner,69.5428,0.1125,618,-87.4445,False
abfeb126,M Kartik,68.7814,0.0582,1182,-262.1871,False
12eddf28,RJ Harris,64.5907,0.0747,865,-120.0501,False
bb351c23,MM Ali,61.8677,0.0712,869,-112.8086,False
ce794613,T Natarajan,59.948,0.0419,1431,2.9992,False
a97c8ec2,PWH de Silva,59.0327,0.0731,808,8.0024,False
05c2ca46,RE van der Merwe,58.9767,0.1296,455,-140.2691,False
df064e1a,Ravi Bishnoi,57.8609,0.0341,1696,-134.0664,False
9a158001,Azhar Mahmood,57.5447,0.1042,552,-80.3159,False
e2db2409,M Ashwin,56.3433,0.0626,900,-139.0994,False
26a85969,R Dhawan,55.4068,0.08,693,-63.4807,False
64d43928,Sohail Tanvir,52.5159,0.1982,265,-75.1619,False
e62dd25d,K Rabada,51.0273,0.0255,1999,-15.9414,False
3a60e0b5,WD Parnell,49.3168,0.0651,758,-118.9063,False
c05edf8e,Harpreet Brar,46.8396,0.0567,826,-53.7686,False
c404f58a,DP Nannes,40.0359,0.0581,689,-108.7219,False
7c7d63a2,AJ Tye,38.3095,0.0537,714,-32.0196,False
3d8feaf8,MR Marsh,36.3696,0.0613,593,-26.2329,False
529eb9e0,OC McCoy,35.9374,0.1997,180,-17.547,False
dec8e038,J Theron,35.0152,0.149,235,-50.1626,False
6c6591ab,PP Ojha,34.4292,0.0177,1945,-330.2735,False
ee7d0c82,GD McGrath,33.6003,0.1021,329,-48.8198,False
